id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18828,YIV,CYIV,Island Lake Airport,54.2,-94.78333,770,,America/Winnipeg,YIV,CA,Island Lake,,,AP
18829,YIW,ZSYW,Yiwu Airport,29.342204799999998,120.02868898781665,262,,Asia/Shanghai,YIW,CN,Yiwu,Zhejiang Sheng,,AP
18830,YJA,CYJA,Jasper Airport,52.9972169,-118.0612726,3350,,America/Edmonton,YJA,CA,Jasper,Alberta,,AP
18831,YJF,CYJF,Fort Liard Airport,60.23598605,-123.47007861169465,708,,America/Yellowknife,YJF,CA,Fort Liard,,,AP
18832,YJN,CYJN,St Jean Airport,45.333332,-73.333336,136,,America/Montreal,YJN,CA,St Jean,Quebec,Monteregie,AP
18833,YJO,,Johnny Mountain,56.666668,-131.11667,"0",,America/Vancouver,YJO,CA,,,,AP
18834,YJP,CEC4,Jasper-Hinton Airport,53.319168,-117.75306,4006,,America/Edmonton,YJP,CA,Hinton,Alberta,,AP
18835,YJS,ZKSE,SamjiyÅn Airport,41.90659475,128.4101275564893,4547,,Asia/Pyongyang,YJS,KP,SamjiyÅn,Jilin Sheng,,AP
18836,YJT,CYJT,Dymond Airport,48.543099299999994,-58.559355183351315,84,,America/St_Johns,YJT,CA,Stephenville,Newfoundland and Labrador,,AP
18837,YKA,CYKA,Kamloops John Moose Fulton Field Regional Airport,50.7051481,-120.4415990390244,1133,,America/Vancouver,YKA,CA,Kamloops,British Columbia,,AP
18838,YKC,CYKC,Collins Bay Airport,44.25,-76.6,1341,,America/Regina,YKC,CA,Collins Bay,Ontario,,AP
